연번,기업명(자발적 협약 기업),제품명,품목,자가검사번호(신고번호)
1066,헨켈홈케어코리아,퍼실 컬러젤 일반용,리필형(액체형),F-A02B-J00020003-A15
1067,헨켈홈케어코리아,버넬 아몬드 블러섬,액체형,F-A04B-T00020004-A15
1068,헨켈홈케어코리아,버넬 프레쉬 모닝,액체형,F-A04B-T00020003-A15
1069,헨켈홈케어코리아,버넬 와일드 로즈,액체형,F-A04B-T00020001-A15
1070,아성다이소,싹스틱,고체형 ,D-A01B-F001001-A160
1071,아성다이소,무향화이트티캔들125P,고체형,G-A17B-R00030001-A170
1072,아성다이소,무향티캔들(10G)125P,고체형,G-A17B-R00010001-A170
1073,아성다이소,액체구두약[브라운],액체형,G-A05B-R00050002-A180
1074,아성다이소,액체구두약[무색],액체형,G-A05B-R00050002-A180
1075,아성다이소,액체 구두약 (무색),액체형,G-A05B-R001001-A160
1076,아성다이소,크림구두약75ML(블랙),에멀션형,G-A05B-R002001-A170
1077,아성다이소,크림구두약75ML(브라운),에멀션형,G-A05B-R002001-A170
1078,아성다이소,크림구두약75ML(투명),에멀션형,G-A05B-R002001-A170
1079,아성다이소,냉장고형탈취제(숯)90일용,고체형,E-A10B-R006001-A150
1080,아성다이소,죽탄탈취제3P,고체형,G-A10B-R002001-A160
1081,아성다이소,얼룩 제로,액체형,D-A02B-K003003-A170
1082,아성다이소,아로마옷장탈취제(자스민),기타(비치형),C-A10B-H00430002-A170
1083,아성다이소,아로마옷장탈취제(장미),기타(비치형),C-A10B-H00430002-A170
1084,아성다이소,아로마옷장탈취제(모과향),기타(비치형),C-A10B-H00430002-A170
1085,아성다이소,아로마옷장탈취제(민트),기타(비치형),C-A10B-H00430002-A170
1086,아성다이소,아로마옷장탈취제(후로랄),기타(비치형),C-A10B-H00430002-A170
1087,아성다이소,비치워크,액체형,D-A09B-R035001-A160
1088,아성다이소,트로피칼,액체형,D-A09B-R035002-A160
1089,아성다이소,후로랄부케,액체형,D-A09B-R035003-A160
1090,아성다이소,플라워가든,액체형,D-A09B-R035004-A160
1091,아성다이소,밀대양초,고체형,C-A170-R00010001-A170
1092,아성다이소,이츠웰 섬유유연제 라벤더향,액체형,F-A04B-H00220004-A170
1093,아성다이소,이츠웰 섬유유연제 로즈향,액체형,F-A04B-H00220004-A170
1094,아성다이소,오클린 액체세제 1L,액체형,F-A02B-H010003-A150
1095,아성다이소,오클린 다목적세정제 욕실용 500mL,스프레이형,F-A01B-H018001-A150
1096,아성다이소,오클린 다목적세정제 주방용 500mL,스프레이형,F-A01B-H018001-A150
1097,아성다이소,얌방향제(유칼립투스),에멀전형,D-A09B-R031001-A160
1098,아성다이소,얌방향제(페퍼민트),에멀전형,D-A09B-R031001-A160
1099,아성다이소,헬로키티벤트클립(딸기),에멀전형,D-A09B-R037001-A160
1100,아성다이소,헬로키티벤트클립(레몬),에멀전형,D-A09B-R037001-A160
